numbre CCs detected (background including): 168
Component_16 =>Avion 306.619 | Cercle 157.806 | Demi Cercle 232.684 | double fleche 304.509 | fleche 251.474 | Rectangle 3D 285.682 | Rectangle H 215.61 | Rectangle V 312.072 | Rectangle V Empty 0.611509 | Symbole 1 156.356 | Symbole 2 159.761 | Symbole 3 160.423 | Symbole 4 205.378 | Symbole 5 308.635 | Symbole 6 307.818 |  => 0.611509 => Rectangle V Empty
Component_17 =>Avion 307.67 | Cercle 157.806 | Demi Cercle 232.684 | double fleche 304.509 | fleche 251.474 | Rectangle 3D 285.682 | Rectangle H 215.61 | Rectangle V 312.072 | Rectangle V Empty 0.611509 | Symbole 1 156.356 | Symbole 2 159.761 | Symbole 3 160.423 | Symbole 4 205.378 | Symbole 5 308.635 | Symbole 6 307.818 |  => 0.611509 => Rectangle V Empty
Component_18 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_19 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_20 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_21 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_22 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_23 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_24 =>Avion 306.619 | Cercle 157.806 | Demi Cercle 232.684 | double fleche 304.509 | fleche 251.474 | Rectangle 3D 285.682 | Rectangle H 215.61 | Rectangle V 312.072 | Rectangle V Empty 0.611509 | Symbole 1 156.356 | Symbole 2 159.761 | Symbole 3 160.423 | Symbole 4 205.378 | Symbole 5 308.635 | Symbole 6 307.818 |  => 0.611509 => Rectangle V Empty
Component_25 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
