numbre CCs detected (background including): 149
Component_18 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_19 =>Rectangle H 0 | Rectangle V 11.4993 | Symbole 1 5.53472 | Symbole 10 11.4993 | Symbole 11 4.76519 | Symbole 2 8.95924 | Symbole 3 4.72763 | Symbole 4 6.22638 | Symbole 5 11.4993 | Symbole 6 6.5324 | Symbole 7 11.4993 | Symbole 8 9.89947 | Symbole 9 11.4993 |  => 0 => Rectangle H
Component_20 =>Rectangle H 11.4993 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_21 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_22 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_23 =>Rectangle H 879.518 | Rectangle V 768.875 | Symbole 1 1299.87 | Symbole 10 1264.29 | Symbole 11 1300.59 | Symbole 2 1297.27 | Symbole 3 1300.55 | Symbole 4 1301.93 | Symbole 5 1284.29 | Symbole 6 1302.33 | Symbole 7 1287.42 | Symbole 8 1305.68 | Symbole 9 0 |  => 0 => Symbole 9
Component_24 =>Rectangle H 0 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle H
Component_25 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_26 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_27 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
