numbre CCs detected (background including): 711
Component_12 =>Cercle 9.88162e-06 | diode H 39.3009 | diode V 86.2877 | Rectangle H 13.1516 | Rectangle V 86.2877 | Symbole 1 43.8864 | Symbole 10 34.2946 | Symbole 11 64.0575 | Symbole 12 70.9888 | Symbole 13 43.8133 | Symbole 14 47.2196 | Symbole 15 8.49182 | Symbole 16 86.2877 | Symbole 17 45.9991 | Symbole 18 39.925 | Symbole 19 42.6589 | Symbole 2 86.2877 | Symbole 20 31.0617 | Symbole 21 86.2877 | Symbole 22 22.9783 | Symbole 23 24.8102 | Symbole 24 6.3142 | Symbole 3 33.7499 | Symbole 4 8.05997 | Symbole 5 47.4894 | Symbole 6 5.6457 | Symbole 7 86.2877 | Symbole 8 54.1903 | Symbole 9 47.783 |  => 9.88162e-06 => Cercle
Component_13 =>Cercle 27.5969 | diode H 7.64777 | diode V 56.3884 | Rectangle H 4.43483 | Rectangle V 56.3884 | Symbole 1 11.1575 | Symbole 10 0.0363443 | Symbole 11 30.9861 | Symbole 12 38.0356 | Symbole 13 11.1986 | Symbole 14 14.5989 | Symbole 15 17.9899 | Symbole 16 56.3884 | Symbole 17 13.684 | Symbole 18 7.38878 | Symbole 19 10.3944 | Symbole 2 56.3884 | Symbole 20 4.05611 | Symbole 21 56.3884 | Symbole 22 12.9104 | Symbole 23 11.6576 | Symbole 24 29.1448 | Symbole 3 56.3884 | Symbole 4 3.3591 | Symbole 5 14.4933 | Symbole 6 3.37862 | Symbole 7 56.3884 | Symbole 8 20.6286 | Symbole 9 15.7725 |  => 0.0363443 => Symbole 10
Component_14 =>Cercle 8.97807e-06 | diode H 39.2608 | diode V 86.324 | Rectangle H 13.1288 | Rectangle V 86.324 | Symbole 1 43.8464 | Symbole 10 34.2521 | Symbole 11 64.0074 | Symbole 12 70.9425 | Symbole 13 43.7809 | Symbole 14 47.1733 | Symbole 15 8.49104 | Symbole 16 86.324 | Symbole 17 45.9595 | Symbole 18 39.8947 | Symbole 19 42.6227 | Symbole 2 86.324 | Symbole 20 31.0417 | Symbole 21 86.324 | Symbole 22 22.9445 | Symbole 23 24.7881 | Symbole 24 6.28014 | Symbole 3 33.7078 | Symbole 4 8.0399 | Symbole 5 47.441 | Symbole 6 5.62062 | Symbole 7 86.324 | Symbole 8 54.1419 | Symbole 9 47.74 |  => 8.97807e-06 => Cercle
Component_15 =>Cercle 9.95945e-06 | diode H 39.7346 | diode V 86.7986 | Rectangle H 13.5741 | Rectangle V 86.7986 | Symbole 1 44.3116 | Symbole 10 34.7215 | Symbole 11 64.4685 | Symbole 12 71.4293 | Symbole 13 44.2632 | Symbole 14 47.6619 | Symbole 15 8.06415 | Symbole 16 86.7986 | Symbole 17 46.4236 | Symbole 18 40.3776 | Symbole 19 43.1022 | Symbole 2 86.7986 | Symbole 20 31.5098 | Symbole 21 86.7986 | Symbole 22 23.3962 | Symbole 23 25.2569 | Symbole 24 6.75166 | Symbole 3 33.2348 | Symbole 4 8.48904 | Symbole 5 47.8976 | Symbole 6 6.09893 | Symbole 7 86.7986 | Symbole 8 54.5985 | Symbole 9 48.2225 |  => 9.95945e-06 => Cercle
Component_16 =>Cercle 7.91333e-06 | diode H 39.9934 | diode V 87.0201 | Rectangle H 13.8179 | Rectangle V 87.0201 | Symbole 1 44.5712 | Symbole 10 34.9782 | Symbole 11 64.7259 | Symbole 12 71.6862 | Symbole 13 44.5185 | Symbole 14 47.916 | Symbole 15 7.81646 | Symbole 16 87.0201 | Symbole 17 46.678 | Symbole 18 40.6328 | Symbole 19 43.3529 | Symbole 2 87.0201 | Symbole 20 31.7568 | Symbole 21 87.0201 | Symbole 22 23.6431 | Symbole 23 25.5153 | Symbole 24 7.01566 | Symbole 3 33.0235 | Symbole 4 8.73269 | Symbole 5 48.1512 | Symbole 6 6.34555 | Symbole 7 87.0201 | Symbole 8 54.8521 | Symbole 9 48.4845 |  => 7.91333e-06 => Cercle
Component_17 =>Cercle 6.45089 | diode H 29.4406 | diode V 78.1537 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Symbole 1 35.0554 | Symbole 10 25.4241 | Symbole 11 53.4973 | Symbole 12 58.9704 | Symbole 13 33.4878 | Symbole 14 37.5763 | Symbole 15 9.39165 | Symbole 16 78.1537 | Symbole 17 35.1992 | Symbole 18 30.7467 | Symbole 19 33.9185 | Symbole 2 78.1537 | Symbole 20 22.424 | Symbole 21 78.1537 | Symbole 22 13.6843 | Symbole 23 15.2256 | Symbole 24 7.89449 | Symbole 3 41.4227 | Symbole 4 6.21691 | Symbole 5 37.9818 | Symbole 6 8.61315 | Symbole 7 78.1537 | Symbole 8 44.373 | Symbole 9 38.1559 |  => 1.13128e-05 => Rectangle H
Component_18 =>Cercle 0.28183 | diode H 40.9632 | diode V 87.9807 | Rectangle H 14.8167 | Rectangle V 87.9807 | Symbole 1 45.504 | Symbole 10 35.9139 | Symbole 11 65.6824 | Symbole 12 72.6357 | Symbole 13 45.4534 | Symbole 14 48.8655 | Symbole 15 6.89032 | Symbole 16 87.9807 | Symbole 17 47.6129 | Symbole 18 41.5722 | Symbole 19 44.293 | Symbole 2 87.9807 | Symbole 20 32.6867 | Symbole 21 87.9807 | Symbole 22 24.579 | Symbole 23 26.4931 | Symbole 24 7.96248 | Symbole 3 32.0815 | Symbole 4 9.67787 | Symbole 5 49.0787 | Symbole 6 7.27894 | Symbole 7 87.9807 | Symbole 8 55.7797 | Symbole 9 49.4598 |  => 0.28183 => Cercle
Component_19 =>Cercle 0.28183 | diode H 40.9632 | diode V 87.9807 | Rectangle H 14.8167 | Rectangle V 87.9807 | Symbole 1 45.504 | Symbole 10 35.9139 | Symbole 11 65.6824 | Symbole 12 72.6357 | Symbole 13 45.4534 | Symbole 14 48.8655 | Symbole 15 6.89032 | Symbole 16 87.9807 | Symbole 17 47.6129 | Symbole 18 41.5722 | Symbole 19 44.293 | Symbole 2 87.9807 | Symbole 20 32.6867 | Symbole 21 87.9807 | Symbole 22 24.579 | Symbole 23 26.4931 | Symbole 24 7.96248 | Symbole 3 32.0815 | Symbole 4 9.67787 | Symbole 5 49.0787 | Symbole 6 7.27894 | Symbole 7 87.9807 | Symbole 8 55.7797 | Symbole 9 49.4598 |  => 0.28183 => Cercle
Component_20 =>Cercle 0.209044 | diode H 40.1947 | diode V 87.2984 | Rectangle H 14.04 | Rectangle V 87.2984 | Symbole 1 44.756 | Symbole 10 35.1468 | Symbole 11 64.952 | Symbole 12 71.8688 | Symbole 13 44.6494 | Symbole 14 48.1046 | Symbole 15 7.4738 | Symbole 16 87.2984 | Symbole 17 46.875 | Symbole 18 40.7692 | Symbole 19 43.553 | Symbole 2 87.2984 | Symbole 20 31.9088 | Symbole 21 87.2984 | Symbole 22 23.8586 | Symbole 23 25.7144 | Symbole 24 7.1683 | Symbole 3 32.7027 | Symbole 4 8.93787 | Symbole 5 48.3747 | Symbole 6 6.51846 | Symbole 7 87.2984 | Symbole 8 55.0756 | Symbole 9 48.666 |  => 0.209044 => Cercle
Component_21 =>Cercle 40.1631 | diode H 4.50176 | diode V 40.1631 | Rectangle H 21.9988 | Rectangle V 40.1631 | Symbole 1 7.00235 | Symbole 10 20.683 | Symbole 11 13.2709 | Symbole 12 20.3992 | Symbole 13 11.1428 | Symbole 14 5.11806 | Symbole 15 36.8757 | Symbole 16 40.1631 | Symbole 17 10.2736 | Symbole 18 15.3631 | Symbole 19 11.947 | Symbole 2 40.1631 | Symbole 20 23.7015 | Symbole 21 40.1631 | Symbole 22 32.0472 | Symbole 23 31.1761 | Symbole 24 40.1631 | Symbole 3 40.1631 | Symbole 4 12.609 | Symbole 5 7.44461 | Symbole 6 21.4248 | Symbole 7 40.1631 | Symbole 8 0.0278577 | Symbole 9 7.60023 |  => 0.0278577 => Symbole 8
