nombre CCs detecte : 168
composant_19 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_20 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_21 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_22 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_23 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_24 =>Avion 204.151 | Cercle 157.806 | Demi Cercle 232.684 | double fleche 304.509 | fleche 251.474 | Rectangle 3D 285.682 | Rectangle H 215.61 | Rectangle V 312.072 | Rectangle V Empty 0.611507 | S 156.356 | U 159.761 | X 160.423 | Z 205.378 |  => 0.611507 => Rectangle V Empty
composant_25 =>Avion 205.378 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_26 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_27 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_28 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_29 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_30 =>Avion 204.151 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749599 | S 155.172 | U 158.511 | X 159.177 | Z 204.151 |  => 0.749599 => Rectangle V Empty
composant_31 =>Avion 100.74 | Cercle 5.18199 | Demi Cercle 26.7652 | double fleche 98.3859 | fleche 45.5179 | Rectangle 3D 78.7975 | Rectangle H 9.9425 | Rectangle V 104.371 | Rectangle V Empty 7.67531 | S 41.1841 | U 51.5878 | X 15.9477 | Z 8.33557 |  => 5.18199 => Cercle
composant_32 =>Avion 8.33557 | Cercle 5.27838 | Demi Cercle 26.9088 | double fleche 98.4515 | fleche 45.6479 | Rectangle 3D 78.9394 | Rectangle H 9.96522 | Rectangle V 104.253 | Rectangle V Empty 7.63059 | S 41.3107 | U 51.5646 | X 16.0617 | Z 8.45848 |  => 5.27838 => Cercle
composant_33 =>Avion 8.45848 | Cercle 3.28202 | Demi Cercle 29.975 | double fleche 102.635 | fleche 48.4579 | Rectangle 3D 82.2073 | Rectangle H 14.046 | Rectangle V 110.084 | Rectangle V Empty 11.506 | S 36.2352 | U 47.1861 | X 9.54509 | Z 0.36544 |  => 0.36544 => Z
composant_34 =>Avion 0.36544 | Cercle 4.76078 | Demi Cercle 10.8684 | double fleche 83.8018 | fleche 29.5646 | Rectangle 3D 63.1591 | Rectangle H 11.4206 | Rectangle V 91.3606 | Rectangle V Empty 11.3024 | S 54.9637 | U 66.1561 | X 28.3367 | Z 0.851443 |  => 0.36544 => classe  rejet => taille format diff
composant_35 =>Avion 0.851443 | Cercle 2.86155 | Demi Cercle 72.1151 | double fleche 144.511 | fleche 90.5871 | Rectangle 3D 124.56 | Rectangle H 55.3841 | Rectangle V 151.85 | Rectangle V Empty 53.9628 | S 3.56069 | U 3.28105 | X 2.18385 | Z 44.6393 |  => 0.851443 => classe  rejet => taille format diff
composant_36 =>Avion 44.6393 | Cercle 8.80924 | Demi Cercle 34.4052 | double fleche 107.518 | fleche 53.1177 | Rectangle 3D 87.3223 | Rectangle H 18.9342 | Rectangle V 115.358 | Rectangle V Empty 17.0164 | S 30.9236 | U 41.0825 | X 2.18325 | Z 7.09209 |  => 2.18325 => X
composant_37 =>Avion 7.09209 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Rectangle V Empty 24.8359 | S 69.1879 | U 76.0633 | X 42.2102 | Z 17.2657 |  => 1.13128e-05 => Rectangle H
composant_38 =>Avion 17.2657 | Cercle 2.41968 | Demi Cercle 14.1532 | double fleche 54.587 | fleche 8.63636 | Rectangle 3D 34.7634 | Rectangle H 21.804 | Rectangle V 60.5421 | Rectangle V Empty 43.0758 | S 60.5421 | U 60.5421 | X 60.4416 | Z 34.2509 |  => 2.41968 => Cercle
