composant_16 =>A 9.13183 | B 9.13183 | C 9.13183 | Cercle 9.13183 | D 9.13183 | E 9.13183 | F 3.04466 | G 9.13183 | H 9.13183 | I 2.8285 | J 9.13183 | K 9.13183 | L 9.13183 | M 9.13183 | N 9.13183 | O 4.81549 | P 9.13183 | Q 9.13183 | R 9.13183 | Ractangle V Empty 9.13183 | Rectangle H 9.13183 | Rectangle V 9.13183 |  => 2.8285 => I
composant_17 =>A 9.13183 | B 13.3545 | C 13.3545 | Cercle 13.3545 | D 13.3545 | E 13.3545 | F 7.35634 | G 13.3545 | H 13.3545 | I 4.20529 | J 11.9826 | K 13.3545 | L 13.3545 | M 13.3545 | N 13.3545 | O 1.60353 | P 13.3545 | Q 13.3545 | R 9.92768 | Ractangle V Empty 13.3545 | Rectangle H 13.3545 | Rectangle V 13.3545 |  => 1.60353 => O
composant_18 =>A 13.3545 | B 103.756 | C 82.944 | Cercle 71.9614 | D 159.198 | E 54.9109 | F 154.468 | G 119.981 | H 65.8837 | I 152.335 | J 143.585 | K 130.846 | L 30.3514 | M 113.805 | N 99.8958 | O 151.701 | P 98.1724 | Q 99.8705 | R 143.249 | Ractangle V Empty 159.198 | Rectangle H 60.2182 | Rectangle V 159.198 |  => 13.3545 => A
composant_19 =>A 31.4935 | B 30.817 | C 31.4935 | Cercle 31.4935 | D 31.4935 | E 31.4935 | F 26.406 | G 16.0368 | H 31.4935 | I 23.9446 | J 16.7487 | K 4.51763 | L 31.4935 | M 20.4405 | N 31.4935 | O 22.8893 | P 31.4935 | Q 31.4935 | R 14.3461 | Ractangle V Empty 31.4935 | Rectangle H 4.2043 | Rectangle V 31.4935 |  => 4.2043 => Rectangle H
composant_20 =>A 31.2135 | B 29.7146 | C 31.2135 | Cercle 31.2135 | D 31.2135 | E 31.2135 | F 26.5184 | G 14.3256 | H 31.2135 | I 24.1753 | J 14.6285 | K 2.77732 | L 31.2135 | M 19.3143 | N 31.2135 | O 22.9459 | P 31.2135 | Q 31.2135 | R 14.045 | Ractangle V Empty 31.2135 | Rectangle H 7.47677 | Rectangle V 31.2135 |  => 2.77732 => K
composant_21 =>A 6.153 | B 6.153 | C 6.153 | Cercle 6.153 | D 6.153 | E 6.153 | F 0.740623 | G 6.153 | H 6.153 | I 4.62211 | J 6.153 | K 6.153 | L 6.153 | M 6.153 | N 6.153 | O 6.153 | P 6.153 | Q 6.153 | R 6.153 | Ractangle V Empty 6.153 | Rectangle H 6.153 | Rectangle V 6.153 |  => 0.740623 => F
composant_22 =>A 6.153 | B 15.2773 | C 45.9586 | Cercle 45.9586 | D 45.9586 | E 45.9586 | F 40.8569 | G 5.11513 | H 45.9586 | I 38.7013 | J 29.0987 | K 16.4081 | L 45.9586 | M 2.88063 | N 18.8416 | O 37.1617 | P 20.8736 | Q 20.2757 | R 28.5273 | Ractangle V Empty 45.9586 | Rectangle H 13.8811 | Rectangle V 45.9586 |  => 2.88063 => M
composant_23 =>A 39.464 | B 4.12714 | C 58.197 | Cercle 39.3313 | D 58.197 | E 51.7671 | F 52.3013 | G 18.4257 | H 40.692 | I 50.1854 | J 41.7982 | K 29.0524 | L 58.197 | M 11.9234 | N 5.56656 | O 49.4317 | P 9.01733 | Q 9.14371 | R 40.0868 | Ractangle V Empty 58.197 | Rectangle H 25.4731 | Rectangle V 58.197 |  => 4.12714 => B
composant_24 =>A 43.1877 | B 17.853 | C 43.1877 | Cercle 43.1877 | D 43.1877 | E 43.1877 | F 38.5777 | G 2.08157 | H 43.1877 | I 36.4043 | J 25.2651 | K 14.2855 | L 43.1877 | M 7.96174 | N 23.1894 | O 34.7842 | P 24.1121 | Q 22.7258 | R 25.9095 | Ractangle V Empty 43.1877 | Rectangle H 12.1112 | Rectangle V 43.1877 |  => 2.08157 => G
composant_25 =>A 43.1877 | B 275.625 | C 90.9281 | Cercle 242.513 | D 9.74726 | E 226.092 | F 324.774 | G 292.075 | H 236.571 | I 322.171 | J 315.305 | K 302.363 | L 142.232 | M 285.462 | N 270.829 | O 320.632 | P 269.45 | Q 271.875 | R 312.623 | Ractangle V Empty 6.85216 | Rectangle H 230.922 | Rectangle V 328.997 |  => 6.85216 => Ractangle V Empty
